ident,type,latitude_deg,longitude_deg,elevation_ft
ENM,VOR-DME,62.7845993,-164.4880066,5
ENN,VORTAC,64.58999634,-149.072998,1600
ENO,VORTAC,39.2317009,-75.51589966,10
ENW,VOR-DME,42.59909821,-87.93170166,735
EON,VORTAC,41.26959991,-87.79109955,690
EOS,VOR-DME,36.8423996,-94.43569946,1200
EPH,VORTAC,47.37789917,-119.4240036,1250
ERI,VORTAC,42.01739883,-80.29270172,800
ERY,VOR-DME,46.31280136,-85.46430206,871
ESC,VOR-DME,45.72259903,-87.08959961,600
ESF,VORTAC,31.44750023,-92.32189941,195
ESL,VOR-DME,39.2254982,-78.98950195,2590
EST,VOR,43.40909958,-94.74440002,1320
ETG,VORTAC,41.21500015,-78.14279938,2250
ETL,VOR-DME,38.04029846,-108.2590027,8460
ETX,VOR-DME,40.58100128,-75.68399811,750
EUF,VORTAC,31.95019913,-85.13050079,280
EUG,VORTAC,44.1208992,-123.2229996,364
EVM,VOR-DME,47.42440033,-92.50189972,1376
EVW,VOR-DME,41.27249908,-111.0469971,7131
EWA,VORTAC,32.3667984,-88.45839691,300
EWC,VORTAC,40.82519913,-80.21160126,1220
EWM,VORTAC,31.95170021,-106.2720032,4040
EWN,VOR-DME,35.07310104,-77.04509735,10
EWO,VOR-DME,37.63180161,-85.67590332,960
EYW,VORTAC,24.58589935,-81.80049896,10
FAH,VOR-DME,43.76890182,-87.84829712,744
FAI,VORTAC,64.80010223,-148.0119934,1493
FAK,VORTAC,37.5284996,-77.82820129,460
FAM,VORTAC,37.67340088,-90.23400116,1220
FAR,VORTAC,46.7533989,-96.8513031,910
FAY,VOR-DME,34.98550034,-78.87509918,180
FBR,VOR-DME,41.3783989,-110.4240036,7060
FCA,VOR-DME,48.21409988,-114.1760025,2984
FCM,VOR-DME,44.82569885,-93.45680237,900
FCS,VOR-DME,38.68069839,-104.7570038,5829
FDK,VOR,39.41220093,-77.37509918,299
FDY,VORTAC,40.95529938,-83.7559967,820
FFM,VOR-DME,46.28929901,-96.15670013,1190
FFO,TACAN,39.81900024,-84.05549622,804
FFT,VOR,38.18239975,-84.90859985,800
FFU,VORTAC,40.27489853,-111.9410019,7690
FGT,VORTAC,44.63090134,-93.18209839,930
FHU,VOR,31.5897007,-110.3550034,4664
FIM,VORTAC,34.3567009,-118.8809967,2200
FJC,VORTAC,40.72669983,-75.45480347,680
FJS,VOR-DME,41.4496994,-122.8059998,4900
FKL,VOR,41.43859863,-79.85679626,1530
FKN,VORTAC,36.71419907,-77.01229858,90
FLG,VOR-DME,35.14720154,-111.6740036,7026
FLL,VOR-DME,26.0746994,-80.15249634,10
FLM,VOR-DME,38.6495018,-84.31060028,810
FLO,VORTAC,34.23289871,-79.65709686,110
FLP,VOR-DME,36.29959869,-92.45839691,780
FLW,VORTAC,35.0931015,-119.8659973,3870
FMG,VORTAC,39.53129959,-119.6559982,5949
FMH,TACAN,41.6595993,-70.51390076,120
FML,VORTAC,34.98910141,-80.95480347,645
FNT,VORTAC,42.96680069,-83.74700165,770
FOD,VORTAC,42.61119843,-94.2947998,1150
FOE,TACAN,38.94739914,-95.66120148,1043
FOK,TACAN,40.83779907,-72.63179779,50
FOT,VORTAC,40.67129898,-124.2350006,400
FOW,VOR-DME,44.20439911,-93.37049866,1098
FQF,VORTAC,39.69010162,-104.6210022,5780
FQM,VOR-DME,41.33860016,-76.77490234,2090
FRA,VORTAC,37.10440063,-119.5950012,2380
FRI,VOR,38.97019958,-96.86100006,1240
FRM,VOR-DME,43.64599991,-94.42259979,1160
FSD,VORTAC,43.6495018,-96.78119659,1570
FSM,VORTAC,35.38840103,-94.27149963,430
FST,VORTAC,30.95210075,-102.9759979,2890
FTI,VORTAC,35.6576004,-105.1360016,6870
FTK,VOR-DME,37.90739822,-85.97290039,740
FTZ,VORTAC,38.69449997,-90.97129822,817
FUZ,VORTAC,32.88949966,-97.17939758,637
FWA,VORTAC,40.97909927,-85.18810272,802
FXU,VORTAC,31.11160088,-93.21790314,315
FYU,VORTAC,66.57430267,-145.2769928,425
FZT,VOR-DME,32.07460022,-95.53079987,305
GAD,VOR-DME,33.97639847,-86.08360291,560
GAG,VORTAC,36.34370041,-99.88009644,2430
GAL,VORTAC,64.73819733,-156.7769928,130
GAM,NDB-DME,63.7820015,-171.7369995,38
GBG,VOR-DME,40.93730164,-90.43450165,760
GBN,VORTAC,32.95629883,-112.6740036,790
GCC,VOR-DME,44.34780121,-105.5429993,4334
GCK,VORTAC,37.91910172,-100.7249985,2880
GCN,VOR-DME,35.96030045,-112.1460037,6670
GCV,VORTAC,31.09799957,-88.48609924,300
GDM,VORTAC,42.54600143,-72.05819702,1280
GEE,VOR-DME,42.83440018,-77.73269653,990
GEF,VORTAC,30.55130005,-83.78309631,220
GEG,VORTAC,47.56489944,-117.6269989,2755
GEP,VORTAC,45.14569855,-93.37319946,880
GFA,TACAN,47.5041008,-111.1819992,3501
GFK,VOR-DME,47.95479965,-97.18540192,841
GFL,VORTAC,43.34170151,-73.61180115,319
GFS,VORTAC,35.1310997,-115.1760025,4000
GGG,VORTAC,32.4178009,-94.75319672,320
GGT,VORTAC,42.78900146,-75.8266983,2040
GGW,VOR-DME,48.21530151,-106.625,2280
GHM,VORTAC,35.83409882,-87.45179749,770
GIJ,VORTAC,41.76860046,-86.31839752,800
GKN,VOR-DME,62.15240097,-145.4499969,1548
GLD,VORTAC,39.38790131,-101.6920013,3650
GLH,VOR-DME,33.52349854,-90.98290253,130
GLJ,VOR,34.95240021,-120.5210037,138
GLL,VORTAC,40.50389862,-104.5530014,4910
GLR,VOR-DME,45.01250076,-84.70429993,1320
GMN,VORTAC,34.80400085,-118.8610001,4920
GNL,VOR-DME,31.5814991,-96.54910278,512
GNP,VOR-DME,35.92089844,-95.96869659,810
GNV,VORTAC,29.69210052,-82.27300262,128
GOJ,VOR,35.95100021,-89.94110107,250
GON,VOR-DME,41.33039856,-72.05200195,20
GPT,VORTAC,30.40679932,-89.07679749,20
GPZ,VOR-DME,47.16360092,-93.4885025,1400
GQE,VOR-DME,35.34700012,-90.47820282,211
GQO,VORTAC,34.9612999,-85.15339661,1030
GRB,VORTAC,44.55519867,-88.19490051,760
GRD,VORTAC,34.25159836,-82.15419769,630
GRI,VORTAC,40.98400116,-98.31479645,1840
GRK,VOR-DME,31.03289986,-97.813797,980
GRV,VOR-DME,39.63499832,-79.05049896,2640
GSB,TACAN,35.33499908,-77.97160339,82
GSH,VORTAC,41.52519989,-86.02799988,850
GSO,VORTAC,36.04570007,-79.97640228,879
GTF,VORTAC,47.45000076,-111.4120026,3673
