BOS,BOS HYLND4 HYLND HANAA Q816 HOCKE FNT J94 ONL ANCHR3 DEN,DEN,1100-0300,,,H,,,TURBOJETS ONLY: DME/DME/IRU OR GPS REQUIRED,,1,ZBW,ZDV
BOS,BOS BLZZR3 BLZZR BAF Q406 BWZ J6 LIT FEWWW SEEVR3 DFW,DFW,,,,H,,,RNAV TURBOJET,DFW SOUTH FLOW,2,ZBW,ZFW
BOS,BOS BLZZR3 BLZZR BAF Q406 BWZ J6 LIT FEWWW BRDJE3 DFW,DFW,,,,H,,,RNAV TURBOJET,DFW NORTH FLOW,3,ZBW,ZFW
BOS,BOS BLZZR3 BLZZR BAF Q406 BWZ J6 LIT WILBR4 DFW,DFW,,,,H,,,ALL OTHERS,,4,ZBW,ZFW
BOS,BOS HYLND4 HYLND CAM Q822 GONZZ BUF SPICA2 DTW,DTW,1100-0300,,,H,,,TURBOJETS ONLY: DME/DME/IRU OR GPS REQUIRED,,1,ZBW,ZOB
BOS,BOS PATSS4 PATSS NELIE FLOSI3 EWR,EWR,1100-0300,,,H,,FL180-FL220,TURBOJETS ONLY: DME/DME/IRU OR GPS REQUIRED,,1,ZBW,ZNY
BOS,BOS REVSS BAF MOBBS SAGES V489 COATE EWR,EWR,1100-0300,,,L,,110-170,PROP AND TURBOPROP AIRCRAFT: LESS THAN 250K IAS,,1,ZBW,ZNY
BOS,BOS PATSS4 PATSS NELIE FLOSI3 EWR,EWR,1100-0300,,,L,,110-170,TURBOJETS ONLY: DME/DME/IRU OR GPS REQUIRED,,2,ZBW,ZNY
BOS,BOS PATSS NELIE IGN SHAFF7 EWR,EWR,1100-0300,,,L,,110-170,RNAV ONLY.TURBOJET/TURBOPROPS: 250K IAS OR GREATER,,3,ZBW,ZNY
BOS,BOS BOSOX V1 HFD V229 SEALL V188 CMK V623 SAX EWR,EWR,,,,TEC,LANDING NEWARK AND SATELLITES,10000,SINGLE ENGINE ONLY,,1,ZBW,ZNY
BOS,BOS BOSOX V1 HFD V3 CMK V623 SAX EWR,EWR,,,,TEC,NEWARK & SATS,10000,PROPS < 250K IAS.,,2,ZBW,ZNY
BOS,BOS SSOXS4 SSOXS BUZRD SEY HTO J174 SWL KEMPR ILM AR21 CRANS FISEL6 FLL,FLL,,,,H,FORT LAUDERDALE METRO AREA (FLL. FXE. OPF),,TURBOJETS ONLY: DME/DME/IRU OR GPS REQUIRED,WATER,2,ZBW,ZMA
BOS,BOS SSOXS4 SSOXS BUZRD SEY HTO J174 SWL J121 CHS J79 OMN FISEL6 FLL,FLL,,,,H,FORT LAUDERDALE METRO AREA (FLL. FXE. OPF),,TURBOJETS ONLY: DME/DME/IRU OR GPS REQUIRED,,3,ZBW,ZMA
BOS,BOS BLZZR3 BLZZR BAF Q448 PTW J48 CSN FANPO Q40 AEX WAPPL2 HOU,HOU,1100-0300,,,H,,,TURBOJETS,,1,ZBW,ZHU
BOS,BOS BLZZR3 BLZZR BAF HYPER6 IAD,IAD,1100-0300,,,H,,AOA FL240,TURBOJETS ONLY: DME/DME/IRU OR GPS REQUIRED,,1,ZBW,ZDC
BOS,BOS BLZZR BAF SAGES LAAYK MIP SEG LEGGO3 IAD,IAD,1100-0300,,,H,,AOB 220,TURBOPROPS,,2,ZBW,ZDC
BOS,BOS BLZZR3 BLZZR BAF Q448 PTW J48 CSN FANPO Q40 AEX SKNRD4 IAH,IAH,1100-0300,,,H,,,TURBOJETS,IAH EAST FLOW,1,ZBW,ZHU
