ATLFLLPC,KATL,KFLL,POUNC,KATL POUNC1 POUNC GRGIA SZW JINGL4 KFLL,ZTL,ZMA,ZJX ZMA ZTL,Y,,2
ATLFLLRP,KATL,KFLL,WALET,KATL SMLTZ1 WALET OTK JINGL4 KFLL,ZTL,ZMA,ZJX ZMA ZTL,N,,2
ATLHOU1N,KATL,KHOU,NOONE,KATL NOONE GQO BNA MEM ELD SWB HUDZY2 KHOU,ZTL,ZHU,ZFW ZHU ZME ZTL,N,,1
ATLHOU9S,KATL,KHOU,SOTWO,KATL SOTWO CSG GCV AEX HUDZY2 KHOU,ZTL,ZHU,ZHU ZTL,N,,1
ATLHOUAP,KATL,KHOU,WEONE,KATL WEONE J239 JAMMR MEI MHZ AEX HUDZY2 KHOU,ZTL,ZHU,ZHU ZME ZTL,N,,1
ATLHOUHA,KATL,KHOU,SARGE,KATL HAALO1 SARGE GCV AEX WAPPL2 KHOU,ZTL,ZHU,ZHU ZTL,Y,,2
ATLHOUKA,KATL,KHOU,STNGA,KATL KAJIN1 STNGA MHZ AEX WAPPL2 KHOU,ZTL,ZHU,ZHU ZME ZTL,Y,,2
ATLHOUPE,KATL,KHOU,JAACE,KATL PENCL1 JAACE BNA MEM ELD SWB WAPPL2 KHOU,ZTL,ZHU,ZFW ZHU ZME ZTL,Y,,2
ATLHOURP,KATL,KHOU,STEIT,KATL POUNC1 STEIT AEX WAPPL2 KHOU,ZTL,ZHU,ZHU ZME ZTL,N,,2
ATLIAD9N,KATL,KIAD,NOTWO,KATL NOTWO J91 VXV HVQ DOCCS2 KIAD,ZTL,ZDC,ZDC ZID ZTL,N,,1
ATLIADAP,KATL,KIAD,EAONE,KATL EAONE SPA J14 CREWE J51 FAK COATT4 KIAD,ZTL,ZDC,ZDC ZTL,N,,1
ATLIADPA,KATL,KIAD,RAFTN,KATL PADGT1 RAFTN FLM J43 ROD APE AIR J162 MGW GIBBZ2 KIAD,ZTL,ZDC,ZDC ZID ZOB ZTL,Y,,2
ATLIADPL,KATL,KIAD,SPA,KATL PLMMR1 SPA BKW GIBBZ2 KIAD,ZTL,ZDC,ZDC ZID ZTL,Y,,2
ATLIADRP,KATL,KIAD,KELLN,KATL JACCC1 KELLN BYJAC Q60 JAXSN DORRN CAVLR3 KIAD,ZTL,ZDC,ZDC ZTL,N,,2
ATLIADSK,KATL,KIAD,BOBBD,KATL SMKEY1 BOBBD Q71 KONGO BKW GIBBZ2 KIAD,ZTL,ZDC,ZDC ZID ZTL,Y,,2
ATLIADVR,KATL,KIAD,MCN,KATL VRSTY1 MCN DBN TWINS CAE J52 RDU BZNGA DORRN CAVLR3 KIAD,ZTL,ZDC,ZDC ZJX ZTL,Y,,2
ATLIAH1N,KATL,KIAH,NOONE,KATL NOONE GQO BNA MEM AEX OHIIO3 KIAH,ZTL,ZHU,ZFW ZHU ZME ZTL,N,,1
ATLIAH9S,KATL,KIAH,SOTWO,KATL SOTWO J43 SZW CEW SJI GILCO4 KIAH,ZTL,ZHU,ZHU ZJX ZTL,N,,1
ATLIAHAP,KATL,KIAH,WEONE,KATL WEONE J239 JAMMR MEI MHZ AEX OHIIO3 KIAH,ZTL,ZHU,ZHU ZME ZTL,N,,1
ATLIAHHA,KATL,KIAH,SARGE,KATL HAALO1 SARGE GCV AEX ZEEKK1 KIAH,ZTL,ZHU,ZHU ZTL,Y,,2
ATLIAHKA,KATL,KIAH,STNGA,KATL KAJIN1 STNGA MHZ AEX ZEEKK1 KIAH,ZTL,ZHU,ZHU ZME ZTL,Y,,2
ATLIAHPC,KATL,KIAH,POUNC,KATL POUNC1 POUNC GRGIA ARNNY SJI LINKK1 KIAH,ZTL,ZHU,ZHU ZTL,Y,,2
ATLIAHPE,KATL,KIAH,JAACE,KATL PENCL1 JAACE BNA MEM ELD SWB ZEEKK1 KIAH,ZTL,ZHU,ZFW ZHU ZME ZTL,Y,,2
ATLIAHRP,KATL,KIAH,STEIT,KATL POUNC1 STEIT AEX DOOBI2 KIAH,ZTL,ZHU,ZHU ZME ZTL,N,,2
ATLJFK8N,KATL,KJFK,NOTWO,KATL NOTWO J91 VXV J91 TONIO J42 MOL J24 HCM SWL J121 SIE CAMRN4 KJFK,ZTL,ZNY,ZDC ZID ZNY ZTL,Y,,1
ATLJFKAP,KATL,KJFK,EATWO,KATL EATWO GRD J209 ORF J121 SIE CAMRN4 KJFK,ZTL,ZNY,ZDC ZNY ZTL,N,,1
ATLJFKPA,KATL,KJFK,RAFTN,KATL PADGT1 RAFTN FLM J43 ROD KLYNE Q29 JHW J70 LVZ LENDY6 KJFK,ZTL,ZNY,ZID ZNY ZOB ZTL,Y,,2
ATLJFKRP,KATL,KJFK,GRD,KATL PHIIL1 GRD Q64 TYI ORF J121 SIE CAMRN4 KJFK,ZTL,ZNY,ZDC ZNY ZTL,N,,2
ATLJFKSK,KATL,KJFK,BOBBD,KATL SMKEY1 BOBBD Q71 KONGO J42 MOL J24 HCM SWL J121 SIE CAMRN4 KJFK,ZTL,ZNY,ZDC ZID ZNY ZTL,Y,,2
ATLJFKVR,KATL,KJFK,MCN,KATL VRSTY1 MCN DBN TWINS VAN J210 JMACK J121 SIE CAMRN4 KJFK,ZTL,ZNY,ZDC ZJX ZNY ZTL,Y,,2
ATLLASHA,KATL,KLAS,SARGE,KATL HAALO1 SARGE EUF ARNNY SQS LIT J14 IRW J78 ABQ J72 PGS TYSSN3 KLAS,ZTL,ZLA,ZAB ZFW ZLA ZME ZTL,Y,,2
ATLLASPE,KATL,KLAS,JAACE,KATL PENCL1 JAACE BNA J46 TUL J78 IRW J78 ABQ J72 PGS TYSSN3 KLAS,ZTL,ZLA,ZAB ZFW ZKC ZLA ZME ZTL,Y,,2
ATLLASRP,KATL,KLAS,YAALL,KATL NASSA1 YAALL J14 IRW J78 ABQ J72 PGS TYSSN3 KLAS,ZTL,ZLA,ZAB ZFW ZLA ZME ZTL,N,,2
ATLLAXCU,KATL,KLAX,HANKO,KATL CUTTN1 HANKO GAD MEM PNH J78 DRK J231 TNP SEAVU2 KLAX,ZTL,ZLA,ZAB ZFW ZLA ZME ZTL,Y,,2
ATLLAXHA,KATL,KLAX,SARGE,KATL HAALO1 SARGE EUF ARNNY IGB LIT OKM IFI BGD J8 GUP J96 DRK J231 TNP SEAVU2 KLAX,ZTL,ZLA,ZAB ZFW ZKC ZLA ZME ZTL,Y,,2
ATLLAXPE,KATL,KLAX,JAACE,KATL PENCL1 JAACE BNA ARG OKM IFI BGD J8 GUP J96 DRK J231 TNP SEAVU2 KLAX,ZTL,ZLA,ZAB ZFW ZKC ZLA ZME ZTL,Y,,2
ATLLAXRP,KATL,KLAX,YAALL,KATL NASSA1 YAALL J14 PNH J6 DRK J231 TNP SEAVU2 KLAX,ZTL,ZLA,ZAB ZFW ZLA ZME ZTL,N,,2
ATLLGA9N,KATL,KLGA,NOTWO,KATL NOTWO J91 VXV J91 TONIO J42 GVE KORRY3 KLGA,ZTL,ZNY,ZDC ZID ZNY ZTL,Y,,1
ATLLGAAP,KATL,KLGA,EAONE,KATL EAONE AHN J208 HPW J191 PXT KORRY3 KLGA,ZTL,ZNY,ZDC ZNY ZTL,N,,1
ATLLGAPA,KATL,KLGA,RAFTN,KATL PADGT1 SMTTH Q67 TONIO J42 GVE KORRY3 KLGA,ZTL,ZNY,ZDC ZID ZNY ZTL,Y,,2
ATLLGARP,KATL,KLGA,KELLN,KATL JACCC1 KELLN BYJAC Q60 JAXSN HPW J191 PXT KORRY3 KLGA,ZTL,ZNY,ZDC ZNY ZTL,N,,2
ATLLGAVR,KATL,KLGA,MCN,KATL VRSTY1 MCN DBN TWINS VAN FLO J207 RDU J55 HPW J191 PXT KORRY3 KLGA,ZTL,ZNY,ZDC ZJX ZNY ZTL,Y,,2
ATLMCO9W,KATL,KMCO,WEONE,KATL WEONE MGM SZW J43 PIE MINEE5 KMCO,ZTL,ZJX,ZJX ZMA ZTL,N,,1
ATLMCOAP,KATL,KMCO,SOONE,KATL SOONE J89 OTK LEESE2 KMCO,ZTL,ZJX,ZJX ZMA ZTL,N,,1
ATLMCOGA,KATL,KMCO,IRQ,KATL GAIRY1 IRQ SAV J103 OMN CWRLD4 KMCO,ZTL,ZJX,ZJX ZMA ZTL,Y,,2
